Country,WeekEnding,AgeBand,AgeBandQF,Admissions,AdmissionsQF
S92000003,20220828,50-54,"",11,""
S92000003,20220904,50-54,"",5,""
S92000003,20220911,50-54,"",13,""
S92000003,20220918,50-54,"",6,""
S92000003,20220925,50-54,"",8,""
S92000003,20221002,50-54,"",7,""
S92000003,20221009,50-54,"",6,""
S92000003,20221016,50-54,"",14,""
S92000003,20200301,55-59,"",0,""
S92000003,20200308,55-59,"","",c
S92000003,20200315,55-59,"","",c
S92000003,20200322,55-59,"",18,""
S92000003,20200329,55-59,"",73,""
S92000003,20200405,55-59,"",133,""
S92000003,20200412,55-59,"",80,""
S92000003,20200419,55-59,"",55,""
S92000003,20200426,55-59,"",25,""
S92000003,20200503,55-59,"",28,""
S92000003,20200510,55-59,"",24,""
S92000003,20200517,55-59,"",11,""
S92000003,20200524,55-59,"","",c
S92000003,20200531,55-59,"",5,""
S92000003,20200607,55-59,"",5,""
S92000003,20200614,55-59,"",0,""
S92000003,20200621,55-59,"","",c
S92000003,20200628,55-59,"","",c
S92000003,20200705,55-59,"",0,""
S92000003,20200712,55-59,"",0,""
S92000003,20200719,55-59,"",0,""
S92000003,20200726,55-59,"",0,""
S92000003,20200802,55-59,"","",c
S92000003,20200809,55-59,"",0,""
S92000003,20200816,55-59,"",0,""
S92000003,20200823,55-59,"","",c
S92000003,20200830,55-59,"","",c
S92000003,20200906,55-59,"",0,""
S92000003,20200913,55-59,"",6,""
S92000003,20200920,55-59,"",5,""
S92000003,20200927,55-59,"",10,""
S92000003,20201004,55-59,"",22,""
S92000003,20201011,55-59,"",33,""
S92000003,20201018,55-59,"",72,""
S92000003,20201025,55-59,"",72,""
S92000003,20201101,55-59,"",73,""
