id,week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_var,hb_name,hb_date_enacted,hb_date_archived,country,year,month,day,wdate,iswinter,above_thresh
149,20200119,S08000016,NA,2,All,d,39,46,-15.2,NHS Borders,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
150,20200119,S08000016,NA,3,All,d,99,105.5,-6.2,NHS Borders,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
151,20200119,S08000016,NA,4,All,d,70,59.5,17.6,NHS Borders,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,7
152,20200119,S08000016,NA,5,All,d,13,11,18.2,NHS Borders,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,7
153,20200119,S08000017,NA,1,All,d,44,48.5,-9.3,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
154,20200119,S08000017,NA,2,All,d,114,136,-16.2,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
155,20200119,S08000017,NA,3,All,d,142,168,-15.5,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
156,20200119,S08000017,NA,4,All,d,86,58,48.3,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,7
157,20200119,S08000017,NA,5,All,d,31,33.5,-7.5,NHS Dumfries and Galloway,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
158,20200119,S08000019,NA,1,All,d,178,214,-16.8,NHS Forth Valley,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
159,20200119,S08000019,NA,2,All,d,189,238,-20.6,NHS Forth Valley,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
160,20200119,S08000019,NA,3,All,d,175,195,-10.3,NHS Forth Valley,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
161,20200119,S08000019,NA,4,All,d,142,165.5,-14.2,NHS Forth Valley,20140401,NA,S92000003,2020,1,19,2020-01-19,TRUE,0
